country,province,title,variety,points,price,description
France,Burgundy,Domaine Bertagna 2009 Les Dames Huguettes  (Côte de Nuits-Villages),Pinot Noir,87,30.0,"Rich and full in the mouth, packed with red fruits and black cherries. The wine is sweet, while keeping a tannic core. Drink next year."
France,Burgundy,Henri de Villamont 2010 Les Chatelots Premier Cru  (Chambolle-Musigny),Pinot Noir,92,73.0,"Rich and opulent, this is a full-throated Pinot Noir. It has ripe berry flavors and a balancing acidity that supports a dense texture and underlay of firm tannins. While delicious now, this is a wine that will improve with aging so drink from 2016."
France,Burgundy,Henri de Villamont 2010 Les Feusselottes Premier Cru  (Chambolle-Musigny),Pinot Noir,92,72.0,"This wine is ripe, rich and full in the mouth, like a fruit salad of red cherries, plums and berries. Yet there's a more solid side—rounded tannins support the concentrated fruits, and touches of wood aging broaden the feel of this impressive wine. Drink from 2017."
France,Burgundy,Domaine Jeannin-Naltet 2014 Le Clos l'Evêque Premier Cru  (Mercurey),Pinot Noir,91,60.0,"From a walled vineyard once owned by the local bishop, this wine is structured and firm while also having great red cherry and berry fruit. It's one of a number of Premier Crus from this producer—and certainly the most expressive with its generous fruit and balanced tannins. Drink from 2018."
France,Burgundy,Domaine Michel Goubard 2014 Mont-Avril  (Côte Chalonnaise),Pinot Noir,85,22.0,"This is a soft and jammy wine with attractive ripe strawberry fruit and only the lightest structure. It is gentle, rounded and ready to drink."
France,Burgundy,Domaine Poulleau Père et Fils 2014  Chorey-lès-Beaune,Pinot Noir,85,40.0,"This wine is extracted and tough. The acidity does come through to help out, although it still has a hard edge with some bitter toast. It will soften, leaving some perfumed fruit for the future."
France,Alsace,Domaine Bott-Geyl 2012 Galets Oligocène Pinot Noir (Alsace),Pinot Noir,90,33.0,"The Pinot-ness of this wine is undeniable: its structure is of velvet, and its aromas convey freshly turned earth, autumnal oak leaf and subdued red-cherry fruit. There is a depth that evokes deep forests. Have this with furred or feathered game."
France,Burgundy,Domaine Collotte 2014 Clos de Jeu  (Marsannay),Pinot Noir,90,,"With tannins and new-wood flavors, this rich wine is also structured. A smoky character from the wood is shot through by perfumed red fruits. The aftertaste shows more of the wood flavors that need to integrate. Drink from 2018."
France,Burgundy,Domaine Faiveley 2014  Gevrey-Chambertin,Pinot Noir,90,70.0,"This is a blend from most parts of the village, with fruit from 14 different parcels. It is solid and firm while also having great swathes of raspberries and red plums laced together with acidity. The aftertaste is perfumed with a fresh lift. Drink from 2018"
France,Burgundy,Domaine René Bouvier 2014 Champ Salomon  (Marsannay),Pinot Noir,90,,"With intense acidity, this wine has both good structure and red currant and raspberry fruits. It is bright, fresh and almost crisp in character. In the background, the tannins show the dense texture of the wine. It will need to age, so don't drink before 2019."
France,Southwest France,Domaine des Terrisses 2006 Grande Tradition Red (Gaillac),Red Blend,88,14.0,"Made from Fer Servadou, Duras and Syrah, this is a wine with a truly local pedigree and a modern style, with prominent new wood. There are aromas that talk of wild heather and a dry landscape and palate notes of spice, ripe berries and prunes."
France,Languedoc-Roussillon,Kedar's K'orus NV Cabernet Sauvignon (Vin de Pays d'Oc),Cabernet Sauvignon,85,12.0,"Created by music industry businessman Kedar Massenburg (CEO Motown Records), the K'orus range is produced in the Languedoc. This Cabernet Sauvignon gives blackberry fruits, very juicy, lightly sweet to finish, but retaining attractive structure and acidity."
France,France Other,Clos Teddi 2007 Rosé Red (Patrimonio),Red Blend,85,25.0,"For those with a classical bent, Clos Teddi is named after Thetis, sea goddess and mother of Achilles. This rosé, appropriately, summons up lunch by the ocean, with its crisp, fresh, dry strawberry and pink grapefruit flavors, just touched by caramel."
France,Loire Valley,Alphonse Mellot 2014 En Grands Champs  (Sancerre),Pinot Noir,94,112.0,"From old vines planted in a single vineyard, this is a spectacular red. It has the crisp acidity of the cool-climate Sancerre, but it also has the weight and ripeness of a fine Burgundy. The wood aging has left a spicy toasty edge to the beautiful cherry fruits and acidity. It could age for another year to be at its best. Drink from 2019."
France,Loire Valley,Domaine Bernard Fleuriet et Fils 2015 Anthocyane  (Sancerre),Pinot Noir,94,60.0,"Old-vine Pinot Noir has produced a rich structured wood-aged wine. With its opulent texture and ripe full-bodied cherries and red plums, the wine is poised and generous. Drink this impressive wine from 2018."
France,Southwest France,Château Coutinel 2015 Red (Fronton),Red Blend,90,28.0,"The estate wine of Coutinel is dominated by the local Négrette grape. With the addition of 15% Syrah and (unusual for this part of the world) 15% Gamay, the wine is structured while also juicy. Soft tannins and black fruits are shot through with an attractive perfumed character. Drink from 2018."
France,Provence,Château Paradis 2010 Terre des Anges Red (Coteaux d'Aix-en-Provence),Red Blend,92,25.0,"Firm and tannic in structure, this is a wine for aging. Ripe, dark fruits add power and a density of texture. Drink from 2016."
France,Southwest France,Alain Brumont 2011 Château Bouscassé Red (Madiran),Red Blend,94,25.0,Bouscassé is the home of Alain Brumont who also owns Château Montus in Madiran. This powerful wine with its blend of Tannat with the two Cabernets (Franc and Sauvignon) is dense and packed with firm tannins. It is also equally full of generous black-plum fruits and considerable acidity. This is still young—it's a concentrated wine that needs to age further. Drink from 2019.
