country,province,title,variety,points,price,description
Italy,Sicily & Sardinia,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,87,17.0,"Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins."
Italy,Sicily & Sardinia,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),Red Blend,86,,"Merlot and Nero d'Avola form the base for this easy red wine that would pair with fettuccine and meat sauce or pork roast. The quality of the fruit is clean, bright and sharp."
Italy,Sicily & Sardinia,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,86,21.0,"This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel."
Italy,Sicily & Sardinia,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Red Blend,86,,"This blend of Nero d'Avola and Syrah opens with savory aromas of cured meat, dried berry, cassis, tobacco and wet earth. There's a touch of almond bitterness on the finish."
Italy,Sicily & Sardinia,Corvo 2010 Rosso Red (Sicilia),Red Blend,85,,"A blend of Nero d'Avola and Nerello Mascalese, this delivers forest berry and cola, with blue flower and dusty mineral accents. The palate is easy, bright and lean."
Italy,Tuscany,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,87,16.0,"Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins."
Italy,Tuscany,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,87,30.0,"A blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Sangiovese, this pleasant red has aromas of dark-skinned fruit, toast and a whiff of espresso. The light-bodied, straightforward palate offers cherry, red currant and a hint of light spice alongside zesty acidity and polished tannins."
Italy,Tuscany,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,87,30.0,"An easy-drinking blend of Merlot, Sangiovese and Cabernet Sauvignon, this opens with aromas of red berry, toast, herb and roasted coffee bean. The soft palate offers black cherry, mocha and a hint of coffee alongside bright acidity and silky tannins. Drink now."
Italy,Tuscany,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,87,15.0,"Made with 90% Merlot and 10% Alicante, this easygoing red opens with delicate aromas suggesting red currant and baking spice. The straightforward palate delivers red plum and clove alongside soft tannins. Enjoy soon."
Italy,Sicily & Sardinia,Abbazia Santa Anastasia 2003 Montenero Red (Sicilia),Red Blend,88,48.0,"This is a luminous, mature red wine with thick concentration and huge—almost too much—emphasis on toasted oak. Aromas recall vanilla, spice and coffee, although you will find blueberry and cherry on the finish: It is a blend of Nero d'Avola, Cabernet Sauvignon and Merlot."
Italy,Southern Italy,Fattoria Alois 2007 Campole Red (Campania),Red Blend,87,26.0,"Chocolate, espresso, plum and black currant are backed by smoky nuances and natural rubber. This muscular wine offers polished tannins and firm structure to the end. A bit of wine from the 2005 and 2006 vintages is blended in."
Italy,Veneto,Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese),Red Blend,87,20.0,"Here's an interesting blend of Corvina, Cabernet Sauvignon and Rondinella that reflects the aromas and power of each grape variety. The wine offers mature notes of cherry, clove, blackberry and cola: It tastes slightly sweet and very succulent."
Italy,Tuscany,I Giusti e Zanza 2009 Dulcamara Red (Toscana),Red Blend,92,41.0,"This delicious blend of Cabernet Sauvignon, Merlot and Petit Verdot opens with an intense, brooding fragrance of dark fruit, spice and leather. The palate delivers a concentrated black-cherry flavor that's framed by big, chewy tannins and  punctuated by spicy accents of white and black pepper, licorice and pipe. Drink 2015–2024."
Italy,Piedmont,Attilio Ghisolfi 2007 Pinay Red (Langhe),Red Blend,87,,"Pinay is a tight and defined red blend from northern Italy with bright accents of cherry cola, forest berry, licorice and dark mineral. There's a sharp, sour note on the close that would pair with smoked cheese."
Italy,Veneto,Valentina Cubi 2008 Morar  (Amarone della Valpolicella),Red Blend,92,69.0,"Morar is a spicy Amarone with a fragrance of raisin, baked plum, tobacco and black pepper. The palate delivers lush black cherry and raspberry flavors mingled with intense white pepper, clove and nutmeg notes. It's smooth and rich with enough freshness to make this a perfect match for seasoned cheeses or roasted red meat."
Italy,Tuscany,Castello di Querceto 2010 Cignale Red (Colli della Toscana Centrale),Red Blend,90,70.0,"Aromas of underbrush, charred earth and a hint of cedar lead the nose on this blend of Cabernet Sauvignon and 10% Merlot. The extracted palate delivers mature black currant, dried blackberry, espresso and black pepper alongside dusty tannins."
Italy,Tuscany,Poggio Argentiera 2012 Capatosta  (Morellino di Scansano),Red Blend,91,35.0,"Made with Sangiovese blended with 10% Ciliegiolo and 5% Alicante Bouschet, this savory wine opens with aromas of underbrush, ripe berry, tobacco leaf and Mediterranean herb. The vibrant, refined palate doles out juicy black cherry, crushed raspberry, orange peel, licorice and white pepper alongside supple tannins. It closes on a mineral note. Enjoy through 2020."
Italy,Tuscany,Ruffino 2010 Riserva Ducale Oro Gran Selezione  (Chianti Classico),Red Blend,91,43.0,"Aromas of violet, iris, forest floor, woodland berry and allspice lead the nose on this structured, savory wine. The concentrated palate delivers ripe black cherry, mocha, clove, tobacco and licorice alongside velvety tannins and fresh acidity. It's firm and well balanced."
Italy,Tuscany,Ceralti 2008 Alfeo  (Bolgheri Superiore),Red Blend,90,,"Here's an elegant and clean blend of Merlot (50%), Cabernet Sauvignon and Cabernet Franc from coastal Tuscany that offers intensity and well-measured aromas of ripe cherry, espresso bean and tobacco. The wine is plush and soft, with plump berry notes on the finish."
Italy,Tuscany,I Luoghi 2008 Campo al Fico  (Bolgheri Superiore),Red Blend,90,,"This elegant 80-20 Cabernet Sauvignon-Cabernet Franc blend delivers mature aromas of ripe berry, black cherry and fresh aromas of dried herbs and powdered licorice. The somewhat subdued bouquet leads to a generous mouthfeel that leaves a long-lasting impression."
Italy,Tuscany,Le Buche 2006 Giuseppe Olivi Memento Red (Toscana),Red Blend,90,45.0,"Le Buche is an interesting winery to watch, and its various Tuscan blends show great promise. Memento is equal parts Sangiovese and Syrah with a soft, velvety texture and a bright berry finish."
Italy,Tuscany,Marsiliana 2005 Red (Toscana),Red Blend,90,,"This vintage of Marsiliana (the top wine from the Maremma property of Prince Corsini) shows rich tones of espresso, chocolate, dark fruit, leather and spice. The wine is soft and well extracted, with a slightly tough, chewy finish."
Italy,Sicily & Sardinia,Feudo Montoni 2008 P Pinot Noir (Sicilia),Pinot Noir,85,12.0,"Fabio Sireci is behind some of Sicily's best Nero d'Avola and has more recently decided to flex his winemaker muscle on Pinot Noir. The results are a tad jammy and muddled (his vineyards are smack in the middle of the Mediterranean island), ending with ripe aromas of prune and raisin."
Italy,Veneto,Bellenda 2005 Col di Luna Cabernet Sauvignon (Piave),Cabernet Sauvignon,85,16.0,"This is a northern Italian Cabernet with a light, informal style and low intensity. The wine delivers measured aromas of cherry, pine, cedar and ends with a crisp note of acidity."
Italy,Sicily & Sardinia,Antichi Vinai 1877 2013 Pietralava Red (Etna),Red Blend,88,,"This ruby-hued blend of Nerello Mascalese and Nerello Cappuccio conveys aromas of bright berry, intense mint and a whiff of baking spice. The vibrant palate offers sour cherry, mineral and cinnamon flavors alongside fresh acidity."
Italy,Sicily & Sardinia,Principe di Corleone 2004 Evoè Red (Sicilia),Red Blend,85,,"This is a ripe, slightly jammy blend of Nero d'Avola and Merlot with tones of cooked spice and blackberry pie. There are also some green leafy notes in the back backed by dense black tea that come as a surprise. You'll feel some grit on the palate and more fruit flavors on the close."
Italy,Tuscany,Carpineto 2006 Sant'Ercolano  (Vino Nobile di Montepulciano),Red Blend,90,70.0,"Black currant, bell pepper and leather aromas lead the way on this blend of Sangiovese and Cabernet Sauvignon. The dense palate delivers ripe black cherry, grilled pepper, mocha and cracked black pepper alongside bracing tannins."
Italy,Tuscany,Dei 2012  Rosso di Montepulciano,Red Blend,90,18.0,"Ripe black plum, forest floor, mint and spice notes lead the nose on this savory, medium-bodied red. The succulent, straightforward palate doles out fleshy black cherry and crushed raspberry accented with black pepper and clove alongside round tannins. Drink through 2015."
Italy,Sicily & Sardinia,Fondo Antico 2009 I Versi Red (Sicilia),Red Blend,85,,"Plump, lively and packed tight with cherry and blackberry, this blend of Nero d'Avola and Merlot would pair well with grilled sausage or hamburgers. The mouthfeel is soft, easy and fresh."
Italy,Northeastern Italy,Griesbauerhof 2013 St. Magdalener Classico Red (Alto Adige),Red Blend,89,19.0,"Made with 95% Schiava and 5% Lagrein, this sleek red opens with aromas of red currant and crushed violet. The vibrant palate delivers sour cherry, mandarin orange and almond alongside silky tannins and fresh acidity. This is all about easy-drinking pleasure so enjoy soon."
Italy,Central Italy,Terre de Trinci 2003 Riserva  (Montefalco Rosso),Red Blend,86,18.0,"This blend of Sangiovese, Merlot and Sagrantino is a simple, fruit-forward wine with loads of red cherry, blueberry, cedar wood and exotic spice. It has a gritty, spicy mouthfeel and big, powerful tannins."
Italy,Sicily & Sardinia,Tasca d'Almerita 2009 Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,92,65.0,"Despite the problematic vintage, this wine opens with bold aromatic intensity, featuring notes of prune, plum, blackberry and spice. On the palate, the wine is structured and firm, with a touch of sweet cherry on the finish."
Italy,Sicily & Sardinia,Palari 2009  Faro,Red Blend,92,65.0,"Loaded with personality and special distinguishing qualities, this blend of Nocera, Nerello Mascalese and Nerello Cappuccio is a wine for those interested in Italy's indigenous grapes. The bouquet is complex and layered with notes of bramble, forest berry, cassis, cola, dried ginger and green curry. The mouthful is tight, structured and streamlined."
Italy,Tuscany,Tenuta Argentiera 2008 Argentiera  (Bolgheri Superiore),Red Blend,96,75.0,"Here's a beautifully chocolaty and rich blend of Cabernet Sauvignon, Merlot and Cabernet Franc, with plush layers of sweet cherry, Indian spice, tobacco and espresso. The wine is amazingly rich and long lasting, with silky, supple tannins at the very end. Keep it in your cellar 10 years or more, or drink it now."
Italy,Tuscany,Sant Agnese dei F.lli Gigli 2006 Libatio Red (Toscana),Red Blend,90,,"Libatio shows nice integration with smooth tones of cassis, blueberry, white almond and dried spice. The results deliver balance and elegance and make this a food-friendly option for meat or hearty pasta dishes."
Italy,Tuscany,Massi di Mandorlaia 2007 Colpetroso  (Maremma),Red Blend,90,,"Rosemary-marinated steak, roast pork roll stuffed with prunes or dark chicken or turkey meat would make perfect paring partners to this red blend from southern Tuscany. Aromas of spice, mature cherry and leather are soft and penetrating."
Italy,Tuscany,Tommasi 2005 Poggio al Tufo Rompicollo  (Maremma),Red Blend,86,16.0,"Amarone producer Tommasi has produced this approachable blend of Sangiovese and Cabernet. The aromas are simple but direct, including cherry, spice and vanilla."
Italy,Tuscany,Villa Vignamaggio 2003 Wine Obsession I Miti Red (Toscana),Red Blend,86,65.0,"The packaging is totally crazy but the wine is more subdued. A blend of Syrah, Merlot and Cabernet, it delivers raw strawberry, green leaf notes and loads of dried hay. It has a sharp, solid build and rigid tannins."
Italy,Tuscany,Ornellaia 2012 Le Serre Nuove  (Bolgheri),Red Blend,92,75.0,"This full-bodied red manages to be concentrated and weightless at the same time. It opens with aromas of blue flower, wild berry and a whiff of espresso. The smooth, almost creamy palate delivers a black cherry core while notes of graphite, clove, ground pepper and cake spice add depth. It's impeccably balanced, with velvety tannins and just the right amount of freshness. Drink through 2017."
Italy,Sicily & Sardinia,Feudi del Pisciotto 2012 Giambattista Valli  (Cerasuolo di Vittoria),Red Blend,83,30.0,"The nose is rather closed but reveals whiffs of dark-skinned fruit. The diluted palate offers raw, red cherry alongside fleeting tannins."
